id,nombre,resumen_descripcion
1,Antropologia Social y Cultural,"Conoce y aprecia la diversidad de sociedades y culturas humanas, comprendiendo sus causas. Estudia comparativamente las sociedades humanas y desarrolla conocimiento en antropología social y cultural."
2,Antropologia Social y Cultural,"La titulación ofrece conocimiento sobre la diversidad de sociedades y culturas humanas, permitiendo explicar las causas de esta variedad. Se desarrolla el estudio comparado de sociedades humanas y se analiza la antropología social y cultural en relación con la diversidad cultural."
3,Bellas Artes,"El Grado en Bellas Artes forma artistas plásticos con una formación teórica y práctica en las artes visuales, enfocada en la creatividad y la innovación."
4,Conservacion y Restauracion del Patrimonio Cultural,"El Grado en Conservación y Restauración del Patrimonio Cultural forma a conservadores restauradores para preservar y transmitir el patrimonio cultural, asegurando su uso actual y respetando su significado social y espiritual. La profesión debe ser regulada y reconocida para garantizar intervenciones de calidad."
5,Artes Escenicas,"El Grado en Artes Escénicas capacita a jóvenes en actores, guionistas y directores escénicos para el sector del teatro, cine y televisión."
6,Artes Escenicas e Interpretacion Audiovisual,"Este grado busca formar actores versátiles con sólida base dramática, desde el verso a la danza y el canto clásico y contemporáneo. Incluye técnicas de interpretación en cine y televisión, formación académica teórica y cultural, y perspectiva empresarial emprendedora."
7,Efectos Visuales,"Este grado busca formar actores con sólida base dramática, habilidades en canto, danza y interpretación gestual, así como una formación académica teórica y cultural. Se enfoca en desarrollar el potencial intelectual de los alumnos para analizar e interpretar textos dramáticos y llevarlos a la escena de manera creativa."
8,Artes Visuales y Danza,"La danza se estudia dentro del contexto de las artes visuales, considerando su preparación física y mental. Se abordan diferentes manifestaciones de la danza, desde la clásica hasta la contemporánea española, así como aspectos como iluminación, sonido y diseño de vestuario. También se analiza la difusión de la danza en el mercado global y sus requerimientos comerciales."
9,Cinematografia,"Graduados en Cine capaces de tomar decisiones, asumir riesgos y impulsar cambios en la creación de contenido audiovisual. Preparados para trabajar en diversas áreas del producto audiovisual, con habilidades en imagen, sonido, fotografía, montaje y postproducción."
10,Bachelor in Filmmaking,"Los graduados en Cine serán capaces de tomar decisiones, asumir riesgos y impulsar cambios en el desempeño profesional en la creación de nuevos espacios y contenidos audiovisuales. Deben tener interés por la imagen, sonido, fotografía, montaje, realización y postproducción."
11,Fotografia y Creacion Audiovisual,"El Grado en Fotografía y Creación Audiovisual ofrece una formación integral en fotografía, arte visual y multimedia. Los estudiantes adquieren habilidades técnicas, artísticas y empresariales para trabajar en la industria de las Artes Visuales y el ámbito multimedia."
12,Composicion Musical,"El Grado en Composición Musical forma compositores altamente cualificados para crear música en todos los géneros y estilos, integrando tecnologías y audiovisuales. Los estudiantes adquirirán conocimientos y experiencia práctica para afrontar la composición musical en diferentes géneros y estilos, cuidando las facetas artística, creativa y técnica. También conocerán recursos tecnológicos y empresariales vanguardistas para potenciar su versatilidad y capacidad de innovación."
13,Interpretacion de Musica Moderna,"El Grado en Interpretación de Música Moderna forma intérpretes para el mundo de la música moderna, con un plan de estudios que abarca lenguajes y estilos como flamenco y jazz."
14,Diseno de Interiores,"La titulación permite a los alumnos desarrollar su actividad profesional en ámbitos variados. Se forman con conocimientos de diseño digital, gráfico e industrial y adquieren habilidades artísticas, humanísticas y técnicas para crear espacios habitables. Deben ser capaces de resolver problemas de interiores y paisaje de manera integral, creativa y ética."
15,Bachelor in Interior Design,"La titulación forma a los alumnos para desarrollar su actividad profesional en diversas áreas, con un perfil multidisciplinar. Deben poseer conocimientos básicos de diseño digital y gráfico, así como artísticos, humanísticos y técnicos. El objetivo es crear espacios habitados adecuados a las necesidades de la sociedad, resolviendo problemas creativa y éticamente."
16,Diseno,"El Grado en Diseño combina teoría y práctica con otras disciplinas como Arte, Arquitectura y Comunicación. Ofrece cuatro menciones: Diseño gráfico, Interiores, Producto y Moda."
17,Gestion y Comunicacion de la Moda,"El Grado en Diseño de moda combina formación técnica con conocimientos transversales como creatividad, estética e historia del arte para preparar a los estudiantes para el mercado laboral."
18,Diseno Integral y Gestion de la Imagen,"Formar profesionales del diseño comprometidos con las necesidades de usuarios y sociedad. Capaces de diseñar productos gráficos, objetos funcionales y espacios en todos los aspectos del proceso."
19,Diseno Multimedia y Grafico,"La carrera de Diseño Multimedia y Gráfico es consolidada y reconocida. Ofrece una formación multidisciplinar con enfoque técnico y práctico, preparando a los estudiantes para áreas como diseño gráfico y multimedia."
20,Diseno Grafico y Multimedia,"La carrera de Diseño Multimedia y Gráfico ofrece una preparación multidisciplinar con un enfoque técnico y práctico. Combina habilidades técnicas con conocimientos transversales como creatividad, estética e historia del arte."
21,Diseno Audiovisual e Ilustracion,"El Grado en Diseño Audiovisual e Ilustración forma ilustradores y diseñadores audiovisuales autosuficientes que pueden trabajar en áreas como comunicación, gráfica y publicitaria. Los estudiantes aprenderán a crear productos y contenidos integrales utilizando herramientas como Photoshop, Illustrator y Adobe Premiere."
22,Diseno de Videojuegos,"El plan de estudios combina formación técnica y artística, preparando a los estudiantes para trabajar en diseño y desarrollo de videojuegos, así como en otras áreas de la informática y el diseño. Se cubren conceptos de programación, bases de datos, redes, comunicaciones, matemáticas y física fundamental. La parte artística incluye técnicas de dibujo y procesos creativos para proyectos audiovisuales, gráficos y D y D."
23,Diseno y Desarrollo de Videojuegos y Entornos Virtuales,"La formación multidisciplinar técnica y artística de estos planes de estudios prepara a los estudiantes para trabajar en sectores como diseño y desarrollo de videojuegos, informática y diseño. El alumno aprenderá programación, bases de datos, redes y comunicaciones, matemáticas y física fundamental. También desarrollará habilidades creativas y técnicas de dibujo y diseño gráfico. La formación transversal en otros ámbitos les permitirá afrontar el diseño, estructuración y planificación de videojuegos."
24,Animacion,"Este Grado forma profesionales en animación con conocimientos artísticos, técnicos y creativos para diseñar, crear y desarrollar contenido digital para cine, televisión, video especializado o plataformas de distribución."
25,Diseno Digital,El Grado Universitario en Diseño Digital desarrolla la vocación artística y el amor por el arte y el diseño. Dota al alumno de conocimientos y fundamentos artísticos y de diseño para crear una comunicación gráfica o audiovisual innovadora.
26,Arte Digital y Tecnologias creativas,"El Grado en Arte Digital capacita para ser un artista de videojuegos, diseñador o profesional de animación. Requiere conocimientos previos en artes y tecnología, observación, análisis e inquietudes intelectuales."
27,Estudios Culturales,"El Grado en Estudios Culturales forma profesionales que entienden la complejidad de las sociedades urbanas y cosmopolitas. Ofrece herramientas teóricas, analíticas y metodológicas para desarrollar la labor como analistas, creadores o gestores en empresas e instituciones culturales."
28,"Estudios de Asia y Africa: Arabe, Chino y Japones","El estudiante profundizará en la comprensión de las sociedades y culturas de Asia y África, utilizando lenguas como el árabe, chino o japonés. Conocerá un área concreta mediante aprendizaje multidisciplinar y distinguirá corrientes filosóficas, artísticas y científicotecnológicas del mundo árabe e islámico o de Asia Oriental."
29,Estudios Semiticos e IslamicosArea de Estudios Semiticos e Islamicos Rama de conocimiento Artes y Humanidades,"La titulación de estudios semíticos e islámicos ofrece una formación rigurosa en lenguas árabe, hebrea y aramea, así como literaturas y manifestaciones culturales islámicas y judías."
30,Filosofia,"El Grado en Filosofía se enfoca en problemas universales de la vida humana, promoviendo la comprensión y orientación de la experiencia, el saber y el hacer. Forma ciudadanos libres y responsables que resisten a la propaganda y fomentan tolerancia entre culturas."
31,Ciencias de las Religiones,"El objetivo es que los estudiantes comprendan la interrelación entre el pensamiento filosófico y el desarrollo de creencias religiosas. Conocen las principales etapas de la filosofía occidental, sus representantes y aplican conocimientos a la reflexión y debate filosófico. También deben comprender los fundamentos y crítica racionales de las creencias religiosas."
32,Arqueologia,La Arqueología es una ciencia interdisciplinar que estudia los pueblos y culturas antiguos mediante restos y tecnologías avanzadas. La titulación de Arqueología forma arqueólogos con conocimientos de historia y habilidades para interpretar la Prehistoria hasta la contemporaneidad.
33,Geografia e Historia,"Este grado estudia la climatología, morfología terrestre, geología y sistemas planetarios, así como las relaciones sociales y económicas con el medio ambiente."
34,Historia,"La Historia es la ciencia que estudia el tiempo y su evolución. Los historiadores utilizan técnicas como la cronología, paleografía y numismática para comprender los acontecimientos del pasado desde la Prehistoria hasta la actualidad."
35,Historia del Arte,"El título de Graduado en Historia del Arte forma profesionales con conocimiento global en áreas relacionadas con la Historia del Arte y las Humanidades, capaces de liderar proyectos y adaptarse a entornos en evolución."
36,Musicologia,"Formar expertos en música que dominen sus métodos, técnicas, orígenes, evolución y implicaciones sociales y culturales."
37,Humanidades,"Estudios interdisciplinarios para aplicar conceptos humanistas en campos como la gestión cultural, sanitaria, de información y científica."
38,"Ciencia, Tecnologia y Humanidades","El Grado en Ciencia, Tecnología y Humanidades forma profesionales que integran perspectivas científicas, tecnológicas, políticas, sociales y culturales para abordar retos transversales. Ofrece formación transversal en ciencias y humanidades con un plan de acción tutelar para orientar a los estudiantes."
